[precompute] ids-file mode: 2500 candidates
[precompute] 3000 cached, 2500 to grade (model=deepseek-ai/DeepSeek-V4-Pro, workers=20)
[precompute] 100/2500  0.5/s  ETA 87.0m  tiers={0: 95, 1: 5}
[precompute] 200/2500  0.7/s  ETA 52.6m  tiers={0: 195, 1: 5}
[precompute] 300/2500  1.0/s  ETA 37.6m  tiers={0: 291, 1: 9}
[precompute] 400/2500  1.2/s  ETA 30.4m  tiers={0: 388, 1: 11, 3: 1}
[precompute] 500/2500  1.3/s  ETA 24.9m  tiers={0: 487, 1: 12, 3: 1}
[precompute] 600/2500  1.5/s  ETA 21.4m  tiers={0: 585, 1: 14, 3: 1}
[precompute] 700/2500  1.6/s  ETA 19.3m  tiers={0: 684, 1: 15, 3: 1}
[precompute] 800/2500  1.6/s  ETA 17.2m  tiers={0: 783, 1: 15, 2: 1, 3: 1}
[precompute] 900/2500  1.8/s  ETA 15.2m  tiers={0: 883, 1: 15, 2: 1, 3: 1}
[precompute] 1000/2500  1.9/s  ETA 13.3m  tiers={0: 982, 1: 16, 2: 1, 3: 1}
[precompute] 1100/2500  2.0/s  ETA 11.6m  tiers={0: 1078, 1: 17, 2: 4, 3: 1}
[precompute] 1200/2500  2.1/s  ETA 10.5m  tiers={0: 1178, 1: 17, 2: 4, 3: 1}
[precompute] 1300/2500  2.1/s  ETA 9.3m  tiers={0: 1278, 1: 17, 2: 4, 3: 1}
[precompute] 1400/2500  2.2/s  ETA 8.5m  tiers={0: 1374, 1: 20, 2: 5, 3: 1}
[precompute] 1500/2500  2.2/s  ETA 7.5m  tiers={0: 1473, 1: 21, 2: 5, 3: 1}
[precompute] 1600/2500  2.3/s  ETA 6.5m  tiers={0: 1568, 1: 24, 2: 6, 3: 1, 4: 1}
[precompute] 1700/2500  2.4/s  ETA 5.6m  tiers={0: 1667, 1: 25, 2: 6, 3: 1, 4: 1}
[precompute] 1800/2500  2.4/s  ETA 4.8m  tiers={0: 1765, 1: 27, 2: 6, 3: 1, 4: 1}
[precompute] 1900/2500  2.5/s  ETA 4.0m  tiers={0: 1861, 1: 30, 2: 7, 3: 1, 4: 1}
[precompute] 2000/2500  2.6/s  ETA 3.2m  tiers={0: 1959, 1: 30, 2: 9, 3: 1, 4: 1}
[precompute] 2100/2500  2.6/s  ETA 2.5m  tiers={0: 2057, 1: 32, 2: 9, 3: 1, 4: 1}
[precompute] 2200/2500  2.7/s  ETA 1.9m  tiers={0: 2155, 1: 34, 2: 9, 3: 1, 4: 1}
[precompute] 2300/2500  2.8/s  ETA 1.2m  tiers={0: 2254, 1: 34, 2: 10, 3: 1, 4: 1}
[precompute] 2400/2500  1.2/s  ETA 1.4m  tiers={0: 2353, 1: 34, 2: 11, 3: 1, 4: 1}
[precompute] 2500/2500  1.1/s  ETA 0.0m  tiers={0: 2453, 1: 34, 2: 11, 3: 1, 4: 1}
[precompute] done 2500 in 37.0m  tiers={0: 2453, 1: 34, 2: 11, 3: 1, 4: 1}
